question,answer
is 17 alphahydroxylase1720lyase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 17beta hydroxysteroid dehydrogenase 3 deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition individuals who are genetically male and have two copies of a mutated gene in each cell are affected by 17beta hydroxysteroid dehydrogenase 3 deficiency people with two mutations who are genetically female do not usually experience any signs and symptoms of this disorder
is 17q231q232 microdeletion syndrome inherited,is 17q232q232 microdeletion syndrome inherited parental fish testing in most of the reported cases confirmed a de novo origin meaning that the deletion was new to the family
is 1q211 microdeletion inherited,1q211 microdeletion is inherited in an autosomal dominant pattern which means that missing genetic material from one of the two copies of chromosome 1 in each cell is sufficient to increase the risk of delayed development intellectual disability and other signs and symptoms in at least half of cases individuals with a 1q211 microdeletion inherit the chromosomal change from a parent in general parents who carry a 1q211 microdeletion have milder signs and symptoms than their children who inherit the deletion even though the deletion is the same size about onequarter of these parents have no associated features a 1q211 microdeletion can also occur in people whose parents do not carry the chromosomal change in this situation the deletion occurs most often as a random event during the formation of reproductive cells eggs or sperm in a parent or in early embryonic development
is 21hydroxylase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition how is 21hydroxylasedeficient congenital adrenal hyperplasia passed through families 21hydroxylasedeficient congenital adrenal hyperplasia has an autosomal recessive pattern of inheritance in autosomal recessive conditions both parents carry one copy of a mutated gene for the disorder they have a 25 percent chance with each pregnancy of having a child affected by the disorder the chance with each pregnancy of having an unaffected child who is a carrier of the disorder is 50 percent and the chance that a child will not have the disorder and will not be a carrier is 25 percent see the illustration below
is 22q112 duplication inherited,the inheritance of 22q112 duplication is considered autosomal dominant because the duplication affects one of the two copies of chromosome 22 in each cell about 70 percent of affected individuals inherit the duplication from a parent in other cases the duplication is not inherited and instead occurs as a random event during the formation of reproductive cells eggs and sperm or in early fetal development these affected people typically have no history of the disorder in their family although they can pass the duplication to their children
is 2hydroxyglutaric aciduria inherited,d2hga type i l2hga and combined dl2hga all have an autosomal recessive pattern of inheritance which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition d2hga type ii is considered an autosomal dominant disorder because one copy of the altered gene in each cell is sufficient to cause the condition the disorder typically results from a new mutation in the idh2 gene and occurs in people with no history of the condition in their family
is 2methylbutyrylcoa dehydrogenase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 3betahydroxysteroid dehydrogenase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 3hydroxy3methylglutarylcoa lyase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 3hydroxyacylcoa dehydrogenase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 3hydroxyisobutyric aciduria inherited,is 3hydroxyisobutyric aciduria inherited cases of 3hydroxyisobutyric aciduria thought to be caused by changes mutations in the aldh6a1 gene are inherited in an autosomal recessive manner this means that to be affected a person must have a mutation in both copies of the responsible gene in each cell the parents of an affected person usually each carry one mutated copy of the gene and are referred to as carriers carriers typically do not show signs or symptoms of the condition when two carriers of an autosomal recessive condition have children each child has a 25 1 in 4 risk to have the condition a 50 1 in 2 risk to be a carrier like each of the parents and a 25 chance to not have the condition and not be a carrier
is 3m syndrome inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 3mc syndrome inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 3methylcrotonylcoa carboxylase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 3methylglutaconylcoa hydratase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is 47 xyy syndrome inherited,is 47 xyy syndrome inherited 47 xyy syndrome is usually not inherited it is typically due to a random event during the formation of a sperm cell recurrence of 47 xyy syndrome in a family is rare the recurrence risk for siblings and other family members is not thought to be increased additionally men with 47 xyy are not reported to have an increased risk for a child with a chromosome variation people with personal questions about recurrence risks are encouraged to speak with a genetic counselor or other genetic professional
is 47xyy syndrome inherited,most cases of 47xyy syndrome are not inherited the chromosomal change usually occurs as a random event during the formation of sperm cells an error in cell division called nondisjunction can result in sperm cells with an extra copy of the y chromosome if one of these atypical reproductive cells contributes to the genetic makeup of a child the child will have an extra y chromosome in each of the bodys cells 46xy47xyy mosaicism is also not inherited it occurs as a random event during cell division in early embryonic development as a result some of an affected persons cells have one x chromosome and one y chromosome 46xy and other cells have one x chromosome and two y chromosomes 47xyy
is 5alpha reductase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the srd5a2 gene in each cell have mutations most often the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but do not show signs and symptoms of the condition although people who are genetically female with two x chromosomes in each cell may inherit mutations in both copies of the srd5a2 gene their sexual development is not affected the development of female sex characteristics does not require dht so a lack of steroid 5alpha reductase 2 activity does not cause physical changes in these individuals only people who have mutations in both copies of the srd5a2 gene and are genetically male with one x and one y chromosome in each cell have the characteristic signs of 5alpha reductase deficiency
is 5q minus syndrome inherited,this condition is generally not inherited but arises from a mutation in the bodys cells that occurs after conception this alteration is called a somatic mutation affected people typically have no history of the disorder in their family
is 7q1123 duplication syndrome inherited,7q1123 duplication syndrome is considered to be an autosomal dominant condition which means one copy of chromosome 7 with the duplication in each cell is sufficient to cause the disorder most cases result from a duplication that occurs during the formation of reproductive cells eggs and sperm or in early fetal development these cases occur in people with no history of the disorder in their family less commonly an affected person inherits the chromosome with a duplicated segment from a parent
is 8p11 myeloproliferative syndrome inherited,this condition is generally not inherited but arises from a mutation in the bodys cells that occurs after conception this alteration is called a somatic mutation
is aarskogscott syndrome inherited,aarskogscott syndrome is inherited in an xlinked recessive pattern the gene associated with this condition is located on the x chromosome which is one of the two sex chromosomes in males who have only one x chromosome one altered copy of the gene in each cell is sufficient to cause the condition in females who have two x chromosomes a mutation would have to occur in both copies of the gene to cause aarskogscott syndrome because it is unlikely that females will have two altered copies of this gene males are affected by xlinked recessive disorders much more frequently than females females who carry one altered copy of the fgd1 gene may show mild signs of the condition such as hypertelorism short stature or a widows peak hairline a characteristic of xlinked inheritance is that fathers cannot pass xlinked traits to their sons
is abdominal wall defect inherited,most cases of abdominal wall defect are sporadic which means they occur in people with no history of the disorder in their family multiple genetic and environmental factors likely play a part in determining the risk of developing this disorder when an abdominal wall defect most often omphalocele is a feature of a genetic condition it is inherited in the pattern of that condition
is acatalasemia inherited,acatalasemia has an autosomal recessive pattern of inheritance which means both copies of the cat gene in each cell have mutations when both copies of the gene are altered the activity of catalase is reduced to less than 10 percent of normal when only one of the two copies of the cat gene has a mutation the activity of catalase is reduced by approximately half this reduction in catalase activity is often called hypocatalasemia like acatalasemia hypocatalasemia usually does not cause any health problems
is aceruloplasminemia inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is achromatopsia inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is acral peeling skin syndrome inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is acromicric dysplasia inherited,acromicric dysplasia is an autosomal dominant condition which means one copy of the altered gene in each cell is sufficient to cause the disorder most cases result from new mutations in the gene and occur in people with no history of the disorder in their family in other cases an affected person inherits the mutation from one affected parent
is actinaccumulation myopathy inherited,actinaccumulation myopathy is an autosomal dominant condition which means one copy of the altered gene in each cell is sufficient to cause the disorder most cases are not inherited they result from new mutations in the gene and occur in people with no history of the disorder in their family
is activated pi3kdelta syndrome inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder
is acute intermittent porphyria inherited,how is acute intermittent porphyria aip inherited aip is inherited in an autosomal dominant fashion which means only one of the two hmbs genes needs to have a diseasecausing mutation to decrease enzyme activity and cause symptoms
is acute promyelocytic leukemia inherited,acute promyelocytic leukemia is not inherited but arises from a translocation in the bodys cells that occurs after conception
is adcy5related dyskinesia inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder in some cases an affected person inherits the mutation from one affected parent other cases result from new mutations in the gene and occur in people with no history of the disorder in their family
is adenine phosphoribosyltransferase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is adenoid cystic carcinoma inherited,is adenoid cystic carcinoma inherited while the underlying cause of adenoid cystic carcinoma acc is not known no strong genetic risk factors have been identified to our knowledge only one case of apparent familial acc has been reported worldwide in this case a father and daughter were both affected with acc of the sublingual salivary gland while acc appears to generally be sporadic occurring in people with no family history of acc there has been speculation about a possible linkage between salivary gland cancers in general and inherited brca gene mutations however this potential link needs further investigation there has also been one report of a case of acc of the salivary gland occurring in a person with basal cell nevus syndrome a hereditary syndrome known to predispose affected people to a very wide range of tumors
is adenosine deaminase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is adenosine monophosphate deaminase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is adenylosuccinate lyase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is adermatoglyphia inherited,adermatoglyphia is inherited in an autosomal dominant pattern which means one copy of the altered smarcad1 gene in each cell is sufficient to cause the condition in many cases an affected person has one parent with the condition
is adolescent idiopathic scoliosis inherited,is adolescent idiopathic scoliosis inherited adolescent idiopathic scoliosis can be sporadic which means it occurs in people without a family history of the condition or it can cluster in families the inheritance pattern of adolescent idiopathic scoliosis is unclear because many genetic and environmental factors appear to be involved we do know however that having a close relative such as a parent or sibling with the condition increases a childs risk of developing it adolescent idiopathic scoliosis can be sporadic which means it occurs in people without a family history of the condition or it can cluster in families the inheritance pattern of adolescent idiopathic scoliosis is unclear because many genetic and environmental factors appear to be involved however having a close relative such as a parent or sibling with adolescent idiopathic scoliosis increases a childs risk of developing the condition
is adult polyglucosan body disease inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is adultonset leukoencephalopathy with axonal spheroids and pigmented glia inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder in most cases an affected person inherits the mutation from one affected parent other cases result from new mutations in the gene and occur in people with no history of the disorder in their family
is afibrinogenemia inherited,is afibrinogenemia an inherited condition afibrinogenemia is inherited in an autosomal recessive manner meaning that in order to be affected an individual must have inherited two abnormal genes one from each parent the offspring of an individual with afibrinogenemia are obligate heterozygotes carriers for a diseasecausing mutation in one of the fibrinogen genes in order to be affected these children would also have to inherit a mutated gene from their other parent
is african iron overload inherited,african iron overload seems to run in families and high iron in a familys diet seems to be the major contributor to development of the condition there also may be a genetic contribution but the inheritance pattern is unknown people with a specific variation in the slc40a1 gene may inherit an increased risk of this condition but not the condition itself not all people with this condition have the variation in the gene and not all people with the variation will develop the disorder
is agerelated macular degeneration inherited,agerelated macular degeneration usually does not have a clearcut pattern of inheritance although the condition appears to run in families in some cases an estimated 15 to 20 percent of people with agerelated macular degeneration have at least one firstdegree relative such as a sibling with the condition
is aicardigoutieres syndrome inherited,aicardigoutieres syndrome can have different inheritance patterns in most cases it is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition rarely this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder these cases result from new mutations in the gene and occur in people with no history of the disorder in their family
is alagille syndrome inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered or deleted gene in each cell is sufficient to cause the disorder in approximately 30 to 50 percent of cases an affected person inherits the mutation or deletion from one affected parent other cases result from new mutations in the gene or new deletions of genetic material on chromosome 20 that occur as random events during the formation of reproductive cells eggs or sperm or in early fetal development these cases occur in people with no history of the disorder in their family
is alexander disease inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder most cases result from new mutations in the gene these cases occur in people with no history of the disorder in their family rarely an affected person inherits the mutation from one affected parent
is alg12congenital disorder of glycosylation inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is alg1congenital disorder of glycosylation inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is alg6congenital disorder of glycosylation inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is alkaptonuria inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is allergic asthma inherited,allergic asthma can be passed through generations in families but the inheritance pattern is unknown people with mutations in one or more of the associated genes inherit an increased risk of allergic asthma not the condition itself because allergic asthma is a complex condition influenced by genetic and environmental factors not all people with a mutation in an asthmaassociated gene will develop the disorder
is alopecia universalis inherited,is alopecia universalis inherited alopecia universalis is believed to be a multifactorial condition which means it is caused by a combination of environmental influences and genetic predisposition while a predisposition can be inherited and some affected people have a family history the condition itself is not thought to be inherited
is alpershuttenlocher syndrome inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is alpha thalassemia inherited,the inheritance of alpha thalassemia is complex each person inherits two alphaglobin alleles from each parent if both parents are missing at least one alphaglobin allele their children are at risk of having hb bart syndrome hbh disease or alpha thalassemia trait the precise risk depends on how many alleles are missing and which combination of the hba1 and hba2 genes is affected
is alpha thalassemia xlinked intellectual disability syndrome inherited,this condition is inherited in an xlinked recessive pattern the atrx gene is located on the x chromosome which is one of the two sex chromosomes in males who have only one x chromosome one altered copy of the gene in each cell is sufficient to cause the condition in females who have two x chromosomes one working copy of the atrx gene can usually compensate for the mutated copy therefore females who carry a single mutated atrx gene almost never have signs of alpha thalassemia xlinked intellectual disability syndrome a characteristic of xlinked inheritance is that fathers cannot pass xlinked traits to their sons
is alphamannosidosis inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is alphamethylacylcoa racemase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is alstrm syndrome inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is alternating hemiplegia of childhood inherited,alternating hemiplegia of childhood is considered an autosomal dominant condition which means one copy of the altered gene in each cell is sufficient to cause the disorder most cases of alternating hemiplegia of childhood result from new mutations in the gene and occur in people with no history of the disorder in their family however the condition can also run in families for unknown reasons the signs and symptoms are typically milder when the condition is found in multiple family members than when a single individual is affected
is alveolar capillary dysplasia with misalignment of pulmonary veins inherited,acdmpv is usually not inherited and most affected people have no history of the disorder in their family the genetic changes associated with this condition usually occur during the formation of reproductive cells eggs and sperm or in early fetal development when the condition is caused by a foxf1 gene mutation or deletion one altered or missing gene in each cell is sufficient to cause the disorder individuals with acdmpv do not pass the genetic change on to their children because they do not live long enough to reproduce a few families have been identified in which more than one sibling has acdmpv it is not clear how acdmpv is inherited in these families because no genetic changes have been identified
is alzheimer disease inherited,the earlyonset form of alzheimer disease is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder in most cases an affected person inherits the altered gene from one affected parent the inheritance pattern of lateonset alzheimer disease is uncertain people who inherit one copy of the apoe e4 allele have an increased chance of developing the disease those who inherit two copies of the allele are at even greater risk it is important to note that people with the apoe e4 allele inherit an increased risk of developing alzheimer disease not the disease itself not all people with alzheimer disease have the e4 allele and not all people who have the e4 allele will develop the disease
is aminoacylase 1 deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is amish lethal microcephaly inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is anaplastic astrocytoma inherited,are anaplastic astrocytomas inherited anaplastic astrocytomas are usually not inherited these tumors typically occur sporadically in people with no family history of astrocytomas in most cases the exact cause is unknown familial cases of isolated astrocytomas have been reported but are very rare astrocytomas can have a genetic link when they are associated with a few rare inherited disorders these include neurofibromatosis type i lifraumeni syndrome turcot syndrome and tuberous sclerosis astrosytomas occur more frequently in people with one of these disorders like many other cancers it is believed that isolated astrocytomas may occur due to a combination of genetic and environmental factors this means that a person may carry a gene or a combination of genes that predisposes them to developing an astrocytoma but it may not develop unless it is triggered by an environmental factor
is andermann syndrome inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is andersentawil syndrome inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder in some cases a person with andersentawil syndrome inherits the mutation from one affected parent other cases result from new mutations in the kcnj2 gene these cases occur in people with no history of the disorder in their family
is androgenetic alopecia inherited,the inheritance pattern of androgenetic alopecia is unclear because many genetic and environmental factors are likely to be involved this condition tends to cluster in families however and having a close relative with patterned hair loss appears to be a risk factor for developing the condition
is aniridia inherited,aniridia is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder in approximately twothirds of cases an affected person inherits the mutation from one affected parent the remaining onethird of cases result from new mutations in the gene and occur in people with no history of the disorder in their family
is ankyloblepharonectodermal defectscleft lippalate syndrome inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder
is antiphospholipid syndrome inherited,most cases of antiphospholipid syndrome are sporadic which means they occur in people with no history of the disorder in their family rarely the condition has been reported to run in families however it does not have a clear pattern of inheritance multiple genetic and environmental factors likely play a part in determining the risk of developing antiphospholipid syndrome
is apert syndrome inherited,apert syndrome is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder almost all cases of apert syndrome result from new mutations in the gene and occur in people with no history of the disorder in their family individuals with apert syndrome however can pass along the condition to the next generation
is arginase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is arginineglycine amidinotransferase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is argininosuccinic aciduria inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is aromatase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is aromatase excess syndrome inherited,this condition is inherited in an autosomal dominant pattern which means a genetic rearrangement involving one copy of the cyp19a1 gene in each cell is sufficient to cause the disorder in some cases an affected person inherits the mutation from one affected parent other cases result from new genetic changes and occur in people with no history of the disorder in their family
is aromatic lamino acid decarboxylase deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is arrhythmogenic right ventricular cardiomyopathy inherited,up to half of all cases of arvc appear to run in families most familial cases of the disease have an autosomal dominant pattern of inheritance which means one copy of an altered gene in each cell is sufficient to cause the disorder rarely arvc has an autosomal recessive pattern of inheritance which means both copies of a gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is arterial tortuosity syndrome inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is aspartylglucosaminuria inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is asperger syndrome inherited,is asperger syndrome inherited autism spectrum disorders including asperger syndrome sometimes run in families but no specific inheritance pattern has been recognized the condition is likely caused by a combination of genetic and environmental factors which means that not all people with a genetic predisposition will be affected a consultation with a genetics professional is recommended for those with specific questions about genetic risks to themselves or family members autism spectrum disorders including asperger syndrome have a tendency to run in families but the inheritance pattern is unknown
is asphyxiating thoracic dystrophy inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is ataxia neuropathy spectrum inherited,ataxia neuropathy spectrum can have different inheritance patterns depending on the associated gene mutations in the polg gene cause a form of the condition that is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition mutations in the c10orf2 gene cause a form of the condition that is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder
is ataxia with oculomotor apraxia inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is ataxia with vitamin e deficiency inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is ataxiatelangiectasia inherited,ataxiatelangiectasia is inherited in an autosomal recessive pattern which means both copies of the atm gene in each cell have mutations most often the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but do not show signs and symptoms of the condition about 1 percent of the united states population carries one mutated copy and one normal copy of the atm gene in each cell these individuals are called carriers although atm mutation carriers do not have ataxiatelangiectasia they are more likely than people without an atm mutation to develop cancer female carriers are particularly at risk for developing breast cancer carriers of a mutation in the atm gene also may have an increased risk of heart disease
is atelosteogenesis type 1 inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder almost all cases result from new mutations in the gene and occur in people with no history of the disorder in their family
is atelosteogenesis type 2 inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is atelosteogenesis type 3 inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder most cases result from new mutations in the gene and occur in people with no history of the disorder in their family
is auriculocondylar syndrome inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is typically sufficient to cause the disorder in some cases an affected person inherits the mutation from one affected parent other cases result from new mutations in the gene and occur in people with no history of the disorder in their family some people who have one altered copy of the gnai3 or plcb4 gene have no features related to auriculocondylar syndrome this situation is known as reduced penetrance it is unclear why some people with a mutated gene develop the condition and other people with a mutated gene do not
is autoimmune addison disease inherited,a predisposition to develop autoimmune addison disease is passed through generations in families but the inheritance pattern is unknown
is autoimmune atrophic gastritis inherited,is autoimmune atrophic gastritis inherited in some cases more than one family member can be affected by autoimmune atrophic gastritis although the underlying genetic cause has not been identified studies suggest that the condition may be inherited in an autosomal dominant manner in these families in autosomal dominant conditions an affected person only needs a change mutation in one copy of the responsible gene in each cell in some cases an affected person inherits the mutation from an affected parent other cases may result from new de novo mutations in the gene these cases occur in people with no history of the disorder in their family a person with the condition has a 50 chance with each pregnancy of passing along the altered gene to his or her child
is autoimmune hemolytic anemia inherited,is autoimmune hemolytic anemia inherited in many cases the cause of autoimmune hemolytic anemia remains unknown some researchers believe that there are multiple factors involved including genetic and environmental influences multifactorial in a very small number of cases autoimmune hemolytic anemia appears to run in families in these cases it appears to follow an autosomal recessive pattern of inheritance if you have concerns about the specific risks in your family we encourage you to consult with a genetics professional
is autoimmune polyglandular syndrome type 1 inherited,this condition is inherited in an autosomal recessive pattern which means both copies of the gene in each cell have mutations the parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene but they typically do not show signs and symptoms of the condition
is autosomal dominant congenital stationary night blindness inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder
is autosomal dominant hyperige syndrome inherited,adhies has an autosomal dominant pattern of inheritance which means one copy of an altered gene in each cell is sufficient to cause the disorder in about half of all cases caused by stat3 gene mutations an affected person inherits the genetic change from an affected parent other cases result from new mutations in this gene these cases occur in people with no history of the disorder in their family
is autosomal dominant hypocalcemia inherited,this condition is inherited in an autosomal dominant pattern which means one copy of the altered gene in each cell is sufficient to cause the disorder in most cases an affected person inherits the mutation from one affected parent a small number of cases result from new mutations in the gene and occur in people with no history of the disorder in their family
